"DAY SHEETS, as at 9:16AM on Wednesday 10th"
DAY 1: Saturday 11th October 2025
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,lane_10,Progression
3 (B),07:40,1,W Mst C 2X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
1 (A),07:40,5,M Mst F 2X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
4 (D),07:45,1,W Mst C 2X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
2 (C),07:45,5,M Mst F 2X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
5 (E),07:50,2,M Mst D 1X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
6 (F),07:55,4,W J-M 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
7 (G),08:05,6,W Mst D 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
8 (H),08:10,7,M A-C 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
9 (I),08:15,9,W Mst A 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
10 (J),08:20,10,M Mst E 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
11 (K),08:25,1,W Mst C 2X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
12 (L),08:30,5,M Mst F 2X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
13 (M),08:35,21,M Mst B 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
14 (N),08:40,24,Mx G-M 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
15 (O),08:45,15,M G-M 8+,final,A, - - CANCELLED - -,,,,,,,,,,""
15 (O),08:45,23,M Mst A 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
15 (O),08:45,25,M Mst C 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
16 (P),08:50,32,W Mst D 2X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
17 (Q),08:55,32,W Mst D 2X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
18 (R),09:00,34,W Mst E 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
19 (S),09:30,35,W Mst F 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
20 (T),09:35,32,W Mst D 2X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
21 (U),09:40,42,W Mst B 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
22 (V),09:45,44,W Mst C 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
23 (W),09:55,47,M Mst B 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
24 (X),10:05,48E,Mx MNw 2X (E),final,A, - - CANCELLED - -,,,,,,,,,,""
25 (Y),10:10,48,Mx MNv 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
26 (Z),10:15,54,M Mst F 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
26 (Z),10:15,56,W Mst F 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
27 (A),10:20,55,M Mst E 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
28 (B),10:25,57,W Mst E 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
29 (C),10:55,59,M G-M 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
30 (D),11:00,60E,W MNw 1X (E),final,A, - - CANCELLED - -,,,,,,,,,,""
31 (E),11:05,60,W MNv 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
32 (F),11:10,64E,M MNw 1X (E),final,A, - - CANCELLED - -,,,,,,,,,,""
33 (G),11:15,64,M MNv 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
34 (H),13:00,14,W Mst E 4X-,final,A,CAMC 1 (E),DGNC 1 (E),DGNC 2 (E),PCUC 1 (E),UNCC 1 (E),UNCC 2 (E),CAM* 2 (E),MLA* 1 (E),BLEC 1 (E),,"medals"
35 (I),13:05,14,W Mst E 4X-,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
36 (J),13:30,3,W Mst F 4X-,final,A,,,,CUR* 1 (F),RIVC 1 (F),DGNC 1 (F),,,,,""
37 (K),13:50,8,W Mst B 4X-,final,A,,,,HWB* 1 (B*),PETC 1 (B*),AVNC 1 (B*),DUA* 1 (B*),,,,""
38 (L),13:55,15,M G-M 8+,final,A,,,,,,HOR* 1 (G),,,,,""
39 (M),14:00,14,W Mst E 4X-,heat,3, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
40 (N),14:15,19E,W MNw 4X+ (E),final,A,,,,WELC 1,AVN* 1,UNCC 1,,,,,""
41 (O),14:20,19,W MNv 4X+,final,A,,,,BLEC 1,UNCC 1,HWB* 1,,,,,""
42 (P),14:45,22E,M MNw 4X+ (E),final,A,,,,HWB* 1,WKOC 2,WKOC 1,,,,,""
42 (P),14:45,22,M MNv 4X+,final,A,,,,,,,AVN* 1,,,,""
43 (Q),15:10,26,Mx D-F 4X-,division,1,,,CTYC 1 (D),NELC 1 (D),WHA* 1 (D),UNCC 2 (D),UNCC 1 (D),HWBC 2 (D),,,""
44 (R),15:15,26,Mx D-F 4X-,division,2,,BLEC 2 (E),UNCC 4 (E),WELC 2 (E),HAMC 1 (E),UNCC 3 (E),WELC 1 (E),BLEC 3 (E),CAM* 1 (E),,""
45 (S),15:20,26,Mx D-F 4X-,division,3,,,AAK* 1 (F),BLE* 1 (F),HWBC 1 (F),CURC 1 (F),DGNC 1 (F),,,,""
46 (T),15:25,27,W A-C 8+,final,A,,,CAM* 1 (C*),WHA* 1 (C),AVN* 1 (C),WEL* 1 (B),DUA* 1 (B),,,,""
46 (T),15:25,41,M Mst A 4X-,final,A,,,,,,,,PICC 1 (A*),,,""
47 (U),15:30,31,M G-M 4-,final,A,,,,,AWRC 1 (H),HOR* 1 (G),,,,,""
48 (V),15:50,36,Mx A-C 4X-,division,1,,,WHA* 1 (C*),DGN* 1 (C),UNCC 3 (C),,BPCC 1 (C),HWBC 2 (B),,,""
49 (W),15:55,36,Mx A-C 4X-,division,2,,,,HWBC 1 (C*),UNCC 2 (C),,UNCC 1 (C),PIC* 1 (B),,,""
50 (X),16:00,37,M D-F 8+,final,A,,HOR* 1 (F*),DUA* 1 (F),CTY* 1 (F),AVNC 1 (E),WEL* 1 (D),AVN* 2 (D),WKOC 1 (D),HAM* 1 (D),,""
52 (Z),16:25,46,M Mst C 4X-,final,A,,BLEC 1 (C*),AVNC 1 (C*),UNCC 2 (C*),AVNC 2 (C),WHA* 1 (C),UNCC 1 (C),PIC* 1 (C),,,""
53 (A),16:30,49,Mx G-M 4X-,final,A,,,,AWR* 1 (H),PCUC 1 (G),CAMC 1 (G),,,,,""
54 (B),16:35,50,Mx D-F 8+,final,A,,,UNCC 2 (E),CTYC 1 (E),DUA* 1 (E),WHA* 1 (D),AVNC 1 (D),UNCC 1 (D),HWBC 1 (D),,""
55 (C),16:55,58,W Mst G 4X-,final,A,,,,,CRO* 1 (G),,,,,,""
56 (D),17:00,61,Mx E-M 4-,final,A,,CAMC 1 (G),UNCC 2 (E),AVNC 1 (E),,BLEC 1 (E),CTYC 1 (E),UNCC 1 (E),,,""
57 (E),17:05,63,Mx A-D 4-,division,1,,UNCC 2 (C),AVNC 1 (C),AVNC 2 (C),PIC* 1 (C),DUA* 1 (C),,HWBC 2 (B),,,""
58 (F),17:10,63,Mx A-D 4-,division,2,,DGNC 1 (D*),BLEC 1 (D*),,,HWBC 1 (D),,UNCC 1 (D),NELC 1 (D),,""

DAY 2: Sunday 12th October 2025
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,lane_10,Progression
59 (A),07:30,68,Mx D-F 2X,division,1, - - CANCELLED - -,,,,,,,,,,""
60 (B),07:35,68,Mx D-F 2X,division,2, - - CANCELLED - -,,,,,,,,,,""
61 (C),07:40,68,Mx D-F 2X,division,3, - - CANCELLED - -,,,,,,,,,,""
62 (D),07:45,68,Mx D-F 2X,division,4, - - CANCELLED - -,,,,,,,,,,""
63 (E),07:50,68,Mx D-F 2X,division,5, - - CANCELLED - -,,,,,,,,,,""
64 (F),07:55,69E,M MNw 2X (E),final,A, - - CANCELLED - -,,,,,,,,,,""
64 (F),07:55,69,M MNv 4+,final,A, - - CANCELLED - -,,,,,,,,,,""
65 (G),08:00,70,W Mst A 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
66 (H),08:05,71,W Mst B 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
67 (I),08:10,72,W Mst C 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
68 (J),08:15,73,W G-M 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
68 (J),08:15,74,M G-M 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
69 (K),08:20,75,M A-C 8+,final,A, - - CANCELLED - -,,,,,,,,,,""
70 (L),08:50,79,M Mst D 2X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
71 (M),08:55,79,M Mst D 2X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
72 (N),09:00,81,W Mst E 2X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
73 (O),09:05,81,W Mst E 2X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
74 (P),09:10,82,M Mst F 1X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
75 (Q),09:15,82,M Mst F 1X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
76 (R),09:20,80E,W MNw 2X (E),final,A, - - CANCELLED - -,,,,,,,,,,""
76 (R),09:20,80,W MNv 4+,final,A, - - CANCELLED - -,,,,,,,,,,""
77 (S),09:25,83,W Mst D 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
78 (T),09:30,85,M H-M 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
79 (U),09:35,86,W Mst F 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
80 (V),09:40,87,W Mst G 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
81 (W),09:45,88,M Mst G 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
82 (X),09:50,89,M Mst E 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
83 (Y),09:55,90,Mx A-C 8+,final,A, - - CANCELLED - -,,,,,,,,,,""
84 (Z),10:00,79,M Mst D 2X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
85 (A),10:05,81,W Mst E 2X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
86 (B),10:10,82,M Mst F 1X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
87 (C),10:40,94,M Mst E 2X,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
88 (D),10:45,94,M Mst E 2X,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
89 (E),10:50,95,Mx A-C 2X,division,1, - - CANCELLED - -,,,,,,,,,,""
90 (F),10:55,95,Mx A-C 2X,division,2, - - CANCELLED - -,,,,,,,,,,""
91 (G),11:00,95,Mx A-C 2X,division,3, - - CANCELLED - -,,,,,,,,,,""
92 (H),11:05,96,M Mst D 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
93 (I),11:10,97,M Mst I 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
93 (I),11:10,98,M J-M 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
94 (J),11:15,99E,Mx MNw 4X+ (E),final,A, - - CANCELLED - -,,,,,,,,,,""
94 (J),11:15,99,Mx MNv 4X+,final,A, - - CANCELLED - -,,,,,,,,,,""
95 (K),11:25,100,M Mst H 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
96 (L),11:30,101,M Mst G 1X,final,A, - - CANCELLED - -,,,,,,,,,,""
97 (M),11:35,102,M Mst F 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
98 (N),11:40,103,W D-F 8+,final,A, - - CANCELLED - -,,,,,,,,,,""
99 (O),11:45,94,M Mst E 2X,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
100 (P),12:10,107,W D-F 4-,final,A, - - CANCELLED - -,,,,,,,,,,""
101 (Q),12:15,108,W A-C 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
102 (R),12:20,109,M Mst C 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
103 (S),12:25,110,M D-F 4-,division,1, - - CANCELLED - -,,,,,,,,,,""
104 (T),12:30,110,M D-F 4-,division,2, - - CANCELLED - -,,,,,,,,,,""
105 (U),12:35,111,M Mst A 2X,final,A, - - CANCELLED - -,,,,,,,,,,""
106 (V),12:40,112,M Mst B 4X-,final,A, - - CANCELLED - -,,,,,,,,,,""
107 (W),13:10,117,W Mst D 4X-,heat,1, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
108 (X),13:15,117,W Mst D 4X-,heat,2, - - CANCELLED - -,,,,,,,,,,"1-5=F; Rest=Elim"
109 (Y),13:20,119,W A-C 4-,final,A, - - CANCELLED - -,,,,,,,,,,""
110 (Z),13:25,118,M Mst D 2-,final,A, - - CANCELLED - -,,,,,,,,,,""
110 (Z),13:25,120,M A-C 4-,final,A, - - CANCELLED - -,,,,,,,,,,""
111 (A),13:45,117,W Mst D 4X-,final,A, - - CANCELLED - -,,,,,,,,,,"medals"
